latitude,longitude,zone_code,hemisphere_NS,hemisphere_WE
30.0,120.8667,AS-NCN,North,East
42.8667,90.1667,ME-IPB,North,East
23.4167,116.7667,AS-SCN,North,East
28.05,121.2,AS-NCN,North,East
22.7833,115.35,AS-SCN,North,East
24.8,113.6167,AS-SCN,North,East
21.5,111.4833,AS-SCN,North,East
23.9833,113.9,AS-SCN,North,East
23.05,113.4333,AS-SCN,North,East
22.4833,113.9167,AS-SCN,North,East
24.6167,118.6667,AS-SCN,North,East
22.55,114.1167,AS-SCN,North,East
33.7667,120.25,AS-NCN,North,East
36.8667,122.4333,AS-NCN,North,East
24.6167,118.4333,AS-SCN,North,East
36.3667,119.55,AS-NCN,North,East
23.0167,113.5,AS-SCN,North,East
30.3167,116.65,AS-NCN,North,East
29.4833,121.85,AS-NCN,North,East
22.95,113.3667,AS-SCN,North,East
24.7333,118.6333,AS-SCN,North,East
21.5833,109.55,AS-SIN,North,East
23.0,113.0833,AS-SCN,North,East
21.5167,111.0,AS-SCN,North,East
22.2333,110.9333,AS-SCN,North,East
22.8333,113.25,AS-SCN,North,East
22.8,106.8,AS-SIN,North,East
39.2833,122.5667,AS-NCN,North,East
22.8,100.9667,AS-SIN,North,East
31.0167,121.2333,AS-NCN,North,East
25.6833,119.5833,AS-SCN,North,East
47.3,131.85,AS-RUE,North,East
30.5333,105.5333,AS-NCN,North,East
49.4167,127.3167,AS-RUE,North,East
31.3167,120.6167,AS-NCN,North,East
31.45,121.1,AS-NCN,North,East
26.0833,119.5,AS-SCN,North,East
21.0333,110.1667,AS-SIN,North,East
37.2667,119.8333,AS-NCN,North,East
32.4833,119.9,AS-NCN,North,East
32.5,119.9,AS-NCN,North,East
39.0167,117.65,AS-NCN,North,East
39.6,118.1833,AS-NCN,North,East
19.2333,110.4667,AS-SIN,North,East
39.0333,117.2,AS-NCN,North,East
38.9833,117.75,AS-NCN,North,East
38.9833,117.7,AS-NCN,North,East
47.65,132.5,AS-RUE,North,East
30.9333,117.8,AS-NCN,North,East
30.6333,120.5667,AS-NCN,North,East
22.5833,113.1333,AS-SCN,North,East
21.9333,113.7167,AS-SCN,North,East
22.1833,113.5167,AS-SCN,North,East
36.7167,119.1,AS-NCN,North,East
37.5167,122.1167,AS-NCN,North,East
37.5,122.1667,AS-NCN,North,East
24.5333,118.6,AS-SCN,North,East
28.4167,121.9833,AS-NCN,North,East
23.3667,104.25,AS-SIN,North,East
28.0167,120.65,AS-NCN,North,East
21.45,110.75,AS-SCN,North,East
30.5833,114.2833,AS-NCN,North,East
31.3167,118.3667,AS-NCN,North,East
22.85,115.65,AS-SCN,North,East
31.5667,120.3,AS-NCN,North,East
23.4833,111.3333,AS-SCN,North,East
25.7,119.3833,AS-SCN,North,East
24.45,118.1,AS-SCN,North,East
24.35,118.2,AS-SCN,North,East
34.2833,108.95,AS-NCN,North,East
27.85,112.9,AS-SCN,North,East
24.7667,118.7667,AS-SCN,North,East
29.3333,104.8833,AS-NCN,North,East
25.2,119.95,AS-SCN,North,East
22.6667,113.2167,AS-SCN,North,East
23.0833,112.9833,AS-SCN,North,East
21.2833,114.8667,AS-SCN,North,East
18.5,110.0167,AS-SIN,North,East
23.0333,113.1,AS-SCN,North,East
22.5333,113.0167,AS-SCN,North,East
22.9833,113.5333,AS-SCN,North,East
23.1167,113.6167,AS-SCN,North,East
32.1333,114.05,AS-NCN,North,East
19.7333,109.2833,AS-SIN,North,East
21.65,111.7833,AS-SCN,North,East
25.2333,118.95,AS-SCN,North,East
49.55,128.4667,AS-RUE,North,East
21.8333,111.9667,AS-SCN,North,East
32.55,121.4,AS-NCN,North,East
19.7,109.2,AS-SIN,North,East
32.2167,119.8167,AS-NCN,North,East
32.3833,119.4333,AS-NCN,North,East
37.4635299,121.44801,AS-NCN,North,East
37.55,121.4167,AS-NCN,North,East
26.85,119.8667,AS-SCN,North,East
40.65,122.2167,AS-NCN,North,East
21.6167,110.2833,AS-SCN,North,East
32.2667,119.1667,AS-NCN,North,East
24.9833,109.9833,AS-SCN,North,East
29.3667,113.1,AS-SCN,North,East
28.1333,121.2333,AS-NCN,North,East
23.1,113.4167,AS-SCN,North,East
22.55,113.45,AS-SCN,North,East
31.8667,120.5333,AS-NCN,North,East
34.1167,118.3167,AS-NCN,North,East
26.7,119.5833,AS-SCN,North,East
24.5167,117.65,AS-SCN,North,East
21.0833,110.5,AS-SCN,North,East
46.0667,125.9833,AS-NCN,North,East
32.55,116.6333,AS-NCN,North,East
23.05,112.45,AS-SCN,North,East
21.5667,111.85,AS-SCN,North,East
30.5833,121.0833,AS-NCN,North,East
23.5833,117.1,AS-SCN,North,East
31.6333,118.3833,AS-NCN,North,East
32.1833,119.45,AS-NCN,North,East
22.5167,113.3667,AS-SCN,North,East
23.0833,113.65,AS-SCN,North,East
39.6833,122.9667,AS-NCN,North,East
22.2833,113.5667,AS-SCN,North,East
23.3667,113.3333,AS-SCN,North,East
36.05,120.3333333,AS-NCN,North,East
24.45,118.0333333,AS-SCN,North,East
